Year,Series,Basic services,Proficiency level,Units,Sex,Geography,Sources of waste for disposal,GeoCode,Value
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Yukon,,60,88.2
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Northwest Territories,,61,91.8
2021,Access to basic mobility,Proportion of the rural population who live within 2 km of an all-season road,,Percentage (%),,Nunavut,,62,82.2
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"",,,75.1
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Newfoundland and Labrador",,10,26.7
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"St. John's, Newfoundland and Labrador",,,59.9
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Prince Edward Island",,11,16.9
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Nova Scotia",,12,37.6
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Halifax, Nova Scotia",,,70.9
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"New Brunswick",,13,28.8
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Moncton, New Brunswick",,,65.4
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Saint John, New Brunswick",,,49.1
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Quebec",,24,66.6
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Ottawa - Gatineau (Quebec part), Quebec",,,77.2
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Saguenay, Quebec",,,75.4
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Sherbrooke, Quebec",,,76.4
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Ontario",,35,75.2
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Barrie, Ontario",,,66.8
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Belleville, Ontario",,,57.1
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Brantford, Ontario",,,69.6
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Greater Sudbury / Grand Sudbury, Ontario",,,66.5
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Guelph, Ontario",,,83.5
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Hamilton, Ontario",,,81.1
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Kingston, Ontario",,,69.4
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Kitchener - Cambridge - Waterloo, Ontario",,,86.2
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"London, Ontario",,,77.7
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Oshawa, Ontario",,,88.7
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Ottawa - Gatineau (Ontario part), Ontario",,,85
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Peterborough, Ontario",,,62.7
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"St. Catharines - Niagara, Ontario",,,80.9
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Thunder Bay, Ontario",,,76.3
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Toronto, Ontario",,,93
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Windsor, Ontario",,,67.1
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Manitoba",,46,57.4
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Winnipeg, Manitoba",,,88.2
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Saskatchewan",,47,50.3
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Regina, Saskatchewan",,,90.4
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Saskatoon, Saskatchewan",,,82.6
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Alberta",,48,67.9
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Calgary, Alberta",,,88.9
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Edmonton, Alberta",,,82.7
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Lethbridge, Alberta",,,71.6
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"British Columbia",,59,78.4
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Abbotsford - Mission, British Columbia",,,79.3
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Kelowna, British Columbia",,,73.7
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Vancouver, British Columbia",,,92.7
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Victoria, British Columbia",,,90.4
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Yukon",,60,56.3
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Northwest Territories",,61,41.4
2016,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Nunavut",,62,0
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Newfoundland and Labrador",,10,54.5
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"St. John's, Newfoundland and Labrador",,,54.7
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Prince Edward Island",,11,40.4
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Nova Scotia",,12,58.3
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Halifax, Nova Scotia",,,65
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"New Brunswick",,13,51.1
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Moncton, New Brunswick",,,62.7
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Saint John, New Brunswick",,,42.3
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Quebec",,24,79.2
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Saguenay, Quebec",,,79.2
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Sherbrooke, Quebec",,,72.7
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Ontario",,35,73.8
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Barrie, Ontario",,,56.3
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Belleville, Ontario",,,55.9
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Brantford, Ontario",,,65.2
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Greater Sudbury / Grand Sudbury, Ontario",,,67.5
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Guelph, Ontario",,,76.7
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Hamilton, Ontario",,,71.5
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Kingston, Ontario",,,67
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Kitchener - Cambridge - Waterloo, Ontario",,,76.7
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"London, Ontario",,,69.5
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Oshawa, Ontario",,,62.5
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Ottawa - Gatineau (Ontario part), Ontario",,,76.4
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Peterborough, Ontario",,,61.3
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"St. Catharines - Niagara, Ontario",,,60.6
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Thunder Bay, Ontario",,,74.8
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Toronto, Ontario",,,82.9
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Windsor, Ontario",,,50.1
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Manitoba",,46,82.7
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Winnipeg, Manitoba",,,83.2
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Saskatchewan",,47,79.7
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Regina, Saskatchewan",,,86.4
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Saskatoon, Saskatchewan",,,79.8
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Alberta",,48,76.4
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Calgary, Alberta",,,80.1
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Edmonton, Alberta",,,75.2
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Lethbridge, Alberta",,,55.7
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"British Columbia",,59,75.9
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Abbotsford - Mission, British Columbia",,,74
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Kelowna, British Columbia",,,64.2
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Vancouver, British Columbia",,,84
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Victoria, British Columbia",,,84.8
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Yukon",,60,75.5
2023,Access to basic mobility,Proportion of population within 500 metres of a public transit stop,,Percentage (%),,"Northwest Territories",,61,87.9
2002,Access to basic waste collection services,,,Tonnes,,,,,24081371
2004,Access to basic waste collection services,,,Tonnes,,,,,25226766
2006,Access to basic waste collection services,,,Tonnes,,,,,26417011
2008,Access to basic waste collection services,,,Tonnes,,,,,25926476
2010,Access to basic waste collection services,,,Tonnes,,,,,24952415
2012,Access to basic waste collection services,,,Tonnes,,,,,24681474
2014,Access to basic waste collection services,,,Tonnes,,,,,24766650
2016,Access to basic waste collection services,,,Tonnes,,,,,24940747
2018,Access to basic waste collection services,,,Tonnes,,,,,25733021
2020,Access to basic waste collection services,,,Tonnes,,,,,26107720
2002,Access to basic waste collection services,,,Tonnes,,"Canada","Residential sources of waste for disposal",,8446766
2002,Access to basic waste collection services,,,Tonnes,,"Canada","Non-residential sources of waste for disposal",,15634606
2002,Access to basic waste collection services,,,Tonnes,,"Newfoundland and Labrador","All sources of waste for disposal",10,376594
2002,Access to basic waste collection services,,,Tonnes,,"Newfoundland and Labrador","Residential sources of waste for disposal",,216218
2002,Access to basic waste collection services,,,Tonnes,,"Newfoundland and Labrador","Non-residential sources of waste for disposal",,160376
2002,Access to basic waste collection services,,,Tonnes,,"Prince Edward Island","All sources of waste for disposal",11,
2002,Access to basic waste collection services,,,Tonnes,,"Prince Edward Island","Residential sources of waste for disposal",,
2002,Access to basic waste collection services,,,Tonnes,,"Prince Edward Island","Non-residential sources of waste for disposal",,
2002,Access to basic waste collection services,,,Tonnes,,"Nova Scotia","All sources of waste for disposal",12,389194
2002,Access to basic waste collection services,,,Tonnes,,"Nova Scotia","Residential sources of waste for disposal",,169649
2002,Access to basic waste collection services,,,Tonnes,,"Nova Scotia","Non-residential sources of waste for disposal",,219546
2002,Access to basic waste collection services,,,Tonnes,,"New Brunswick","All sources of waste for disposal",13,413606
2002,Access to basic waste collection services,,,Tonnes,,"New Brunswick","Residential sources of waste for disposal",,203506
2002,Access to basic waste collection services,,,Tonnes,,"New Brunswick","Non-residential sources of waste for disposal",,210100
2002,Access to basic waste collection services,,,Tonnes,,"Quebec","All sources of waste for disposal",24,5846459
2002,Access to basic waste collection services,,,Tonnes,,"Quebec","Residential sources of waste for disposal",,1875235
2002,Access to basic waste collection services,,,Tonnes,,"Quebec","Non-residential sources of waste for disposal",,3971225
2002,Access to basic waste collection services,,,Tonnes,,"Ontario","All sources of waste for disposal",35,9645633
2002,Access to basic waste collection services,,,Tonnes,,"Ontario","Residential sources of waste for disposal",,3438408
2002,Access to basic waste collection services,,,Tonnes,,"Ontario","Non-residential sources of waste for disposal",,6207225
2002,Access to basic waste collection services,,,Tonnes,,"Manitoba","All sources of waste for disposal",46,896556
2002,Access to basic waste collection services,,,Tonnes,,"Manitoba","Residential sources of waste for disposal",,412612
2002,Access to basic waste collection services,,,Tonnes,,"Manitoba","Non-residential sources of waste for disposal",,483944
2002,Access to basic waste collection services,,,Tonnes,,"Saskatchewan","All sources of waste for disposal",47,795124
2002,Access to basic waste collection services,,,Tonnes,,"Saskatchewan","Residential sources of waste for disposal",,278692
2002,Access to basic waste collection services,,,Tonnes,,"Saskatchewan","Non-residential sources of waste for disposal",,516432
2002,Access to basic waste collection services,,,Tonnes,,"Alberta","All sources of waste for disposal",48,2890294
2002,Access to basic waste collection services,,,Tonnes,,"Alberta","Residential sources of waste for disposal",,866398
2002,Access to basic waste collection services,,,Tonnes,,"Alberta","Non-residential sources of waste for disposal",,2023896
2002,Access to basic waste collection services,,,Tonnes,,"British Columbia","All sources of waste for disposal",59,2687882
2002,Access to basic waste collection services,,,Tonnes,,"British Columbia","Residential sources of waste for disposal",,929101
2002,Access to basic waste collection services,,,Tonnes,,"British Columbia","Non-residential sources of waste for disposal",,1758781
2002,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut","All sources of waste for disposal",,
2002,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut","Residential sources of waste for disposal",,
2002,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut","Non-residential sources of waste for disposal",,
2004,Access to basic waste collection services,,,Tonnes,,"Canada","Residential sources of waste for disposal",,8961583
2004,Access to basic waste collection services,,,Tonnes,,"Canada","Non-residential sources of waste for disposal",,16265183
2004,Access to basic waste collection services,,,Tonnes,,"Newfoundland and Labrador","All sources of waste for disposal",10,400048
2004,Access to basic waste collection services,,,Tonnes,,"Newfoundland and Labrador","Residential sources of waste for disposal",,228004
2004,Access to basic waste collection services,,,Tonnes,,"Newfoundland and Labrador","Non-residential sources of waste for disposal",,172044
2004,Access to basic waste collection services,,,Tonnes,,"Prince Edward Island","All sources of waste for disposal",11,
2004,Access to basic waste collection services,,,Tonnes,,"Prince Edward Island","Residential sources of waste for disposal",,
2004,Access to basic waste collection services,,,Tonnes,,"Prince Edward Island","Non-residential sources of waste for disposal",,
2004,Access to basic waste collection services,,,Tonnes,,"Nova Scotia","All sources of waste for disposal",12,399967
2004,Access to basic waste collection services,,,Tonnes,,"Nova Scotia","Residential sources of waste for disposal",,179262
2004,Access to basic waste collection services,,,Tonnes,,"Nova Scotia","Non-residential sources of waste for disposal",,220705
2004,Access to basic waste collection services,,,Tonnes,,"New Brunswick","All sources of waste for disposal",13,442173
2004,Access to basic waste collection services,,,Tonnes,,"New Brunswick","Residential sources of waste for disposal",,208120
2004,Access to basic waste collection services,,,Tonnes,,"New Brunswick","Non-residential sources of waste for disposal",,234053
2004,Access to basic waste collection services,,,Tonnes,,"Quebec","All sources of waste for disposal",24,6454000
2004,Access to basic waste collection services,,,Tonnes,,"Quebec","Residential sources of waste for disposal",,2209000
2004,Access to basic waste collection services,,,Tonnes,,"Quebec","Non-residential sources of waste for disposal",,4245000
2004,Access to basic waste collection services,,,Tonnes,,"Ontario","All sources of waste for disposal",35,9809264
2004,Access to basic waste collection services,,,Tonnes,,"Ontario","Residential sources of waste for disposal",,3489917
2004,Access to basic waste collection services,,,Tonnes,,"Ontario","Non-residential sources of waste for disposal",,6319347
2004,Access to basic waste collection services,,,Tonnes,,"Manitoba","All sources of waste for disposal",46,928117
2004,Access to basic waste collection services,,,Tonnes,,"Manitoba","Residential sources of waste for disposal",,450658
2004,Access to basic waste collection services,,,Tonnes,,"Manitoba","Non-residential sources of waste for disposal",,477459
2004,Access to basic waste collection services,,,Tonnes,,"Saskatchewan","All sources of waste for disposal",47,794933
2004,Access to basic waste collection services,,,Tonnes,,"Saskatchewan","Residential sources of waste for disposal",,279420
2004,Access to basic waste collection services,,,Tonnes,,"Saskatchewan","Non-residential sources of waste for disposal",,515513
2004,Access to basic waste collection services,,,Tonnes,,"Alberta","All sources of waste for disposal",48,3077311
2004,Access to basic waste collection services,,,Tonnes,,"Alberta","Residential sources of waste for disposal",,943420
2004,Access to basic waste collection services,,,Tonnes,,"Alberta","Non-residential sources of waste for disposal",,2133890
2004,Access to basic waste collection services,,,Tonnes,,"British Columbia","All sources of waste for disposal",59,2767657
2004,Access to basic waste collection services,,,Tonnes,,"British Columbia","Residential sources of waste for disposal",,919323
2004,Access to basic waste collection services,,,Tonnes,,"British Columbia","Non-residential sources of waste for disposal",,1848335
2004,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut","All sources of waste for disposal",,
2004,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut","Residential sources of waste for disposal",,
2004,Access to basic waste collection services,,,Tonnes,,"Yukon, Northwest Territories and Nunavut","Non-residential sources of waste for disposal",,
2006,Access to basic waste collection services,,,Tonnes,,"Canada","Residential sources of waste for disposal",,9748217
2006,Access to basic waste collection services,,,Tonnes,,"Canada","Non-residential sources of waste for disposal",,16668793
2006,Access to basic waste collection services,,,Tonnes,,"Newfoundland and Labrador","All sources of waste for disposal",10,428809
2006,Access to basic waste collection services,,,Tonnes,,"Newfoundland and Labrador","Residential sources of waste for disposal",,227618
2006,Access to basic waste collection services,,,Tonnes,,"Newfoundland and Labrador","Non-residential sources of waste for disposal",,201192
2006,Access to basic waste collection services,,,Tonnes,,"Prince Edward Island","All sources of waste for disposal",11,
2006,Access to basic waste collection services,,,Tonnes,,"Prince Edward Island","Residential sources of waste for disposal",,
2006,Access to basic waste collection services,,,Tonnes,,"Prince Edward Island","Non-residential sources of waste for disposal",,
2006,Access to basic waste collection services,,,Tonnes,,"Nova Scotia","All sources of waste for disposal",12,359105
2006,Access to basic waste collection services,,,Tonnes,,"Nova Scotia","Residential sources of waste for disposal",,169337
2006,Access to basic waste collection services,,,Tonnes,,"Nova Scotia","Non-residential sources of waste for disposal",,189768
2006,Access to basic waste collection services,,,Tonnes,,"New Brunswick","All sources of waste for disposal",13,511706
2006,Access to basic waste collection services,,,Tonnes,,"New Brunswick","Residential sources of waste for disposal",,263580
2006,Access to basic waste collection services,,,Tonnes,,"New Brunswick","Non-residential sources of waste for disposal",,248125
2006,Access to basic waste collection services,,,Tonnes,,"Quebec","All sources of waste for disposal",24,6808440
2006,Access to basic waste collection services,,,Tonnes,,"Quebec","Residential sources of waste for disposal",,2980427
2006,Access to basic waste collection services,,,Tonnes,,"Quebec","Non-residential sources of waste for disposal",,3828013
2006,Access to basic waste collection services,,,Tonnes,,"Ontario","All sources of waste for disposal",35,9710459
2006,Access to basic waste collection services,,,Tonnes,,"Ontario","Residential sources of waste for disposal",,3411642
2006,Access to basic waste collection services,,,Tonnes,,"Ontario","Non-residential sources of waste for disposal",,6298818
2006,Access to basic waste collection services,,,Tonnes,,"Manitoba","All sources of waste for disposal",46,904272
2006,Access to basic waste collection services,,,Tonnes,,"Manitoba","Residential sources of waste for disposal",,425304
2006,Access to basic waste collection services,,,Tonnes,,"Manitoba","Non-residential sources of waste for disposal",,478968
2006,Access to basic waste collection services,,,Tonnes,,"Saskatchewan","All sources of waste for disposal",47,833753
2006,Access to basic waste collection services,,,Tonnes,,"Saskatchewan","Residential sources of waste for disposal",,296062
2006,Access to basic waste collection services,,,Tonnes,,"Saskatchewan","Non-residential sources of waste for disposal",,537691
2006,Access to basic waste collection services,,,Tonnes,,"Alberta","All sources of waste for disposal",48,3819872
2006,Access to basic waste collection services,,,Tonnes,,"Alberta","Residential sources of waste for disposal",,973683
2006,Access to basic waste collection services,,,Tonnes,,"Alberta","Non-residential sources of waste for disposal",,2846189
2006,Access to basic waste collection services,,,Tonnes,,"British Columbia","All sources of waste for disposal",59,2917080
