Year,Series,Quintile de revenu du ménage,Décile de revenu du ménage,Géographie,Value
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,,Québec,-0.175
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,,Québec,0.632
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,,Ontario,2.008
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,,Ontario,2.427
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,,Ontario,2.207
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,,Manitoba,1.125
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,,Manitoba,0.954
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,,Manitoba,0.094
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,,Saskatchewan,2.877
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,,Saskatchewan,6.696
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,,Saskatchewan,2.955
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,,Alberta,0.408
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,,Alberta,-1.816
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,,Alberta,-0.993
2011-2016,Dépenses des ménages par habitant,Tous les quintiles,,Colombie-Britannique,0.715
2011-2016,Dépenses des ménages par habitant,Quintile inférieur,,Colombie-Britannique,-1.253
2011-2016,Dépenses des ménages par habitant,Deuxième quintile,,Colombie-Britannique,-0.382
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Canada,1.519
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Canada,2.029
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Canada,2.442
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Terre-Neuve-et-Labrador,1.529
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Terre-Neuve-et-Labrador,4.475
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Terre-Neuve-et-Labrador,2.789
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Île-du-Prince-Édouard,0.087
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Île-du-Prince-Édouard,5.237
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Île-du-Prince-Édouard,0.342
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Nouvelle-Écosse,0.76
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Nouvelle-Écosse,0.641
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Nouvelle-Écosse,-1.549
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Nouveau-Brunswick,0.879
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Nouveau-Brunswick,-0.079
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Nouveau-Brunswick,-0.279
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Québec,1.624
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Québec,2.856
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Québec,1.72
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Ontario,1.896
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Ontario,2.173
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Ontario,3.265
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Manitoba,1.905
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Manitoba,1.962
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Manitoba,2.225
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Saskatchewan,2.495
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Saskatchewan,3.777
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Saskatchewan,3.513
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Alberta,-0.872
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Alberta,-0.797
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Alberta,-0.04
2012-2017,Dépenses des ménages par habitant,Tous les quintiles,,Colombie-Britannique,2.111
2012-2017,Dépenses des ménages par habitant,Quintile inférieur,,Colombie-Britannique,2.853
2012-2017,Dépenses des ménages par habitant,Deuxième quintile,,Colombie-Britannique,2.77
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Canada,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Canada,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Canada,
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Terre-Neuve-et-Labrador,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Terre-Neuve-et-Labrador,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Terre-Neuve-et-Labrador,
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Île-du-Prince-Édouard,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Île-du-Prince-Édouard,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Île-du-Prince-Édouard,
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Nouvelle-Écosse,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Nouvelle-Écosse,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Nouvelle-Écosse,
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Nouveau-Brunswick,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Nouveau-Brunswick,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Nouveau-Brunswick,
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Québec,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Québec,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Québec,
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Ontario,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Ontario,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Ontario,
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Manitoba,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Manitoba,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Manitoba,
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Saskatchewan,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Saskatchewan,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Saskatchewan,
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Alberta,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Alberta,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Alberta,
2013-2018,Dépenses des ménages par habitant,Tous les quintiles,,Colombie-Britannique,
2013-2018,Dépenses des ménages par habitant,Quintile inférieur,,Colombie-Britannique,
2013-2018,Dépenses des ménages par habitant,Deuxième quintile,,Colombie-Britannique,
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Canada,1.929
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Canada,1.97
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Canada,1.924
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Terre-Neuve-et-Labrador,0.374
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Terre-Neuve-et-Labrador,2.86
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Terre-Neuve-et-Labrador,0.665
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Île-du-Prince-Édouard,0.296
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Île-du-Prince-Édouard,-2.429
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Île-du-Prince-Édouard,1.354
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Nouvelle-Écosse,1.963
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Nouvelle-Écosse,2.436
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Nouvelle-Écosse,2.133
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Nouveau-Brunswick,1.881
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Nouveau-Brunswick,2.338
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Nouveau-Brunswick,0.815
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Québec,1.991
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Québec,1.493
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Québec,1.0
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Ontario,1.724
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Ontario,0.152
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Ontario,3.89
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Manitoba,1.696
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Manitoba,1.64
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Manitoba,2.344
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Saskatchewan,1.807
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Saskatchewan,-0.115
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Saskatchewan,-0.841
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Alberta,0.995
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Alberta,1.282
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Alberta,-0.317
2014-2019,Dépenses des ménages par habitant,Tous les quintiles,,Colombie-Britannique,3.242
2014-2019,Dépenses des ménages par habitant,Quintile inférieur,,Colombie-Britannique,4.735
2014-2019,Dépenses des ménages par habitant,Deuxième quintile,,Colombie-Britannique,4.796
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Canada,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Canada,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Canada,
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Terre-Neuve-et-Labrador,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Terre-Neuve-et-Labrador,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Terre-Neuve-et-Labrador,
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Île-du-Prince-Édouard,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Île-du-Prince-Édouard,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Île-du-Prince-Édouard,
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Nouvelle-Écosse,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Nouvelle-Écosse,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Nouvelle-Écosse,
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Nouveau-Brunswick,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Nouveau-Brunswick,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Nouveau-Brunswick,
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Québec,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Québec,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Québec,
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Ontario,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Ontario,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Ontario,
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Manitoba,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Manitoba,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Manitoba,
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Saskatchewan,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Saskatchewan,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Saskatchewan,
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Alberta,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Alberta,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Alberta,
2015-2020,Dépenses des ménages par habitant,Tous les quintiles,,Colombie-Britannique,
2015-2020,Dépenses des ménages par habitant,Quintile inférieur,,Colombie-Britannique,
2015-2020,Dépenses des ménages par habitant,Deuxième quintile,,Colombie-Britannique,
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Canada,0.385
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Canada,2.084
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Canada,0.565
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Terre-Neuve-et-Labrador,0.783
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Terre-Neuve-et-Labrador,4.11
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Terre-Neuve-et-Labrador,2.075
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Île-du-Prince-Édouard,0.949
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Île-du-Prince-Édouard,10.767
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Île-du-Prince-Édouard,-2.217
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Nouvelle-Écosse,0.854
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Nouvelle-Écosse,0.923
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Nouvelle-Écosse,1.348
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Nouveau-Brunswick,2.068
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Nouveau-Brunswick,4.033
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Nouveau-Brunswick,3.253
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Québec,1.155
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Québec,3.174
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Québec,0.894
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Ontario,-0.347
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Ontario,1.023
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Ontario,-2.139
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Manitoba,1.277
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Manitoba,1.766
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Manitoba,2.324
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Saskatchewan,0.362
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Saskatchewan,0.254
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Saskatchewan,0.862
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Alberta,-0.834
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Alberta,1.539
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Alberta,0.008
2016-2021,Dépenses des ménages par habitant,Tous les quintiles,,Colombie-Britannique,1.559
2016-2021,Dépenses des ménages par habitant,Quintile inférieur,,Colombie-Britannique,4.729
2016-2021,Dépenses des ménages par habitant,Deuxième quintile,,Colombie-Britannique,2.891
2010-2015,Revenu par habitant,,Total des déciles,Canada,0.227
2010-2015,Revenu par habitant,,Décile inférieur,Canada,-0.069
2010-2015,Revenu par habitant,,Deuxième décile,Canada,0.074
2010-2015,Revenu par habitant,,Troisième décile,Canada,0.373
2010-2015,Revenu par habitant,,Quatrième décile,Canada,0.436
2010-2015,Revenu par habitant,,Total des déciles,Terre-Neuve-et-Labrador,2.449
2010-2015,Revenu par habitant,,Décile inférieur,Terre-Neuve-et-Labrador,1.532
2010-2015,Revenu par habitant,,Deuxième décile,Terre-Neuve-et-Labrador,1.254
2010-2015,Revenu par habitant,,Troisième décile,Terre-Neuve-et-Labrador,1.985
2010-2015,Revenu par habitant,,Quatrième décile,Terre-Neuve-et-Labrador,2.566
2010-2015,Revenu par habitant,,Total des déciles,Île-du-Prince-Édouard,0.674
2010-2015,Revenu par habitant,,Décile inférieur,Île-du-Prince-Édouard,-6.229
2010-2015,Revenu par habitant,,Deuxième décile,Île-du-Prince-Édouard,-0.803
2010-2015,Revenu par habitant,,Troisième décile,Île-du-Prince-Édouard,-0.355
2010-2015,Revenu par habitant,,Quatrième décile,Île-du-Prince-Édouard,1.014
2010-2015,Revenu par habitant,,Total des déciles,Nouvelle-Écosse,1.716
2010-2015,Revenu par habitant,,Décile inférieur,Nouvelle-Écosse,0.503
2010-2015,Revenu par habitant,,Deuxième décile,Nouvelle-Écosse,0.582
2010-2015,Revenu par habitant,,Troisième décile,Nouvelle-Écosse,1.469
2010-2015,Revenu par habitant,,Quatrième décile,Nouvelle-Écosse,2.285
2010-2015,Revenu par habitant,,Total des déciles,Nouveau-Brunswick,0.48
2010-2015,Revenu par habitant,,Décile inférieur,Nouveau-Brunswick,-1.343
2010-2015,Revenu par habitant,,Deuxième décile,Nouveau-Brunswick,0.396
2010-2015,Revenu par habitant,,Troisième décile,Nouveau-Brunswick,1.246
2010-2015,Revenu par habitant,,Quatrième décile,Nouveau-Brunswick,1.598
2010-2015,Revenu par habitant,,Total des déciles,Québec,0.257
2010-2015,Revenu par habitant,,Décile inférieur,Québec,0.548
2010-2015,Revenu par habitant,,Deuxième décile,Québec,0.011
2010-2015,Revenu par habitant,,Troisième décile,Québec,0.402
2010-2015,Revenu par habitant,,Quatrième décile,Québec,0.294
2010-2015,Revenu par habitant,,Total des déciles,Ontario,0.174
2010-2015,Revenu par habitant,,Décile inférieur,Ontario,-0.467
2010-2015,Revenu par habitant,,Deuxième décile,Ontario,0.188
2010-2015,Revenu par habitant,,Troisième décile,Ontario,0.297
2010-2015,Revenu par habitant,,Quatrième décile,Ontario,0.606
2010-2015,Revenu par habitant,,Total des déciles,Manitoba,-0.15
2010-2015,Revenu par habitant,,Décile inférieur,Manitoba,-1.543
2010-2015,Revenu par habitant,,Deuxième décile,Manitoba,-0.06
2010-2015,Revenu par habitant,,Troisième décile,Manitoba,0.208
2010-2015,Revenu par habitant,,Quatrième décile,Manitoba,-0.594
2010-2015,Revenu par habitant,,Total des déciles,Saskatchewan,0.499
2010-2015,Revenu par habitant,,Décile inférieur,Saskatchewan,5.135
2010-2015,Revenu par habitant,,Deuxième décile,Saskatchewan,0.708
2010-2015,Revenu par habitant,,Troisième décile,Saskatchewan,1.264
2010-2015,Revenu par habitant,,Quatrième décile,Saskatchewan,0.68
2010-2015,Revenu par habitant,,Total des déciles,Alberta,-0.126
2010-2015,Revenu par habitant,,Décile inférieur,Alberta,1.683
2010-2015,Revenu par habitant,,Deuxième décile,Alberta,0.161
2010-2015,Revenu par habitant,,Troisième décile,Alberta,-0.629
2010-2015,Revenu par habitant,,Quatrième décile,Alberta,-0.32
2010-2015,Revenu par habitant,,Total des déciles,Colombie-Britannique,-0.27
2010-2015,Revenu par habitant,,Décile inférieur,Colombie-Britannique,-0.819
2010-2015,Revenu par habitant,,Deuxième décile,Colombie-Britannique,-0.82
2010-2015,Revenu par habitant,,Troisième décile,Colombie-Britannique,0.129
2010-2015,Revenu par habitant,,Quatrième décile,Colombie-Britannique,0.344
2011-2016,Revenu par habitant,,Total des déciles,Canada,-0.114
2011-2016,Revenu par habitant,,Décile inférieur,Canada,-0.241
2011-2016,Revenu par habitant,,Deuxième décile,Canada,0.385
2011-2016,Revenu par habitant,,Troisième décile,Canada,0.378
2011-2016,Revenu par habitant,,Quatrième décile,Canada,0.101
2011-2016,Revenu par habitant,,Total des déciles,Terre-Neuve-et-Labrador,0.912
2011-2016,Revenu par habitant,,Décile inférieur,Terre-Neuve-et-Labrador,-0.773
2011-2016,Revenu par habitant,,Deuxième décile,Terre-Neuve-et-Labrador,0.358
2011-2016,Revenu par habitant,,Troisième décile,Terre-Neuve-et-Labrador,1.264
2011-2016,Revenu par habitant,,Quatrième décile,Terre-Neuve-et-Labrador,2.067
2011-2016,Revenu par habitant,,Total des déciles,Île-du-Prince-Édouard,-0.288
2011-2016,Revenu par habitant,,Décile inférieur,Île-du-Prince-Édouard,-2.485
2011-2016,Revenu par habitant,,Deuxième décile,Île-du-Prince-Édouard,-0.714
2011-2016,Revenu par habitant,,Troisième décile,Île-du-Prince-Édouard,-0.969
2011-2016,Revenu par habitant,,Quatrième décile,Île-du-Prince-Édouard,-0.564
2011-2016,Revenu par habitant,,Total des déciles,Nouvelle-Écosse,1.187
2011-2016,Revenu par habitant,,Décile inférieur,Nouvelle-Écosse,-2.351
2011-2016,Revenu par habitant,,Deuxième décile,Nouvelle-Écosse,-0.054
2011-2016,Revenu par habitant,,Troisième décile,Nouvelle-Écosse,0.97
2011-2016,Revenu par habitant,,Quatrième décile,Nouvelle-Écosse,1.237
2011-2016,Revenu par habitant,,Total des déciles,Nouveau-Brunswick,0.385
2011-2016,Revenu par habitant,,Décile inférieur,Nouveau-Brunswick,2.014
2011-2016,Revenu par habitant,,Deuxième décile,Nouveau-Brunswick,0.102
2011-2016,Revenu par habitant,,Troisième décile,Nouveau-Brunswick,0.488
2011-2016,Revenu par habitant,,Quatrième décile,Nouveau-Brunswick,0.654
2011-2016,Revenu par habitant,,Total des déciles,Québec,0.46
2011-2016,Revenu par habitant,,Décile inférieur,Québec,-0.04
2011-2016,Revenu par habitant,,Deuxième décile,Québec,0.972
2011-2016,Revenu par habitant,,Troisième décile,Québec,0.944
2011-2016,Revenu par habitant,,Quatrième décile,Québec,0.662
2011-2016,Revenu par habitant,,Total des déciles,Ontario,0.291
2011-2016,Revenu par habitant,,Décile inférieur,Ontario,0.386
2011-2016,Revenu par habitant,,Deuxième décile,Ontario,-0.026
2011-2016,Revenu par habitant,,Troisième décile,Ontario,0.115
2011-2016,Revenu par habitant,,Quatrième décile,Ontario,0.036
2011-2016,Revenu par habitant,,Total des déciles,Manitoba,-0.185
2011-2016,Revenu par habitant,,Décile inférieur,Manitoba,0.301
2011-2016,Revenu par habitant,,Deuxième décile,Manitoba,0.466
2011-2016,Revenu par habitant,,Troisième décile,Manitoba,0.182
2011-2016,Revenu par habitant,,Quatrième décile,Manitoba,-0.258
2011-2016,Revenu par habitant,,Total des déciles,Saskatchewan,-0.87
2011-2016,Revenu par habitant,,Décile inférieur,Saskatchewan,-0.03
2011-2016,Revenu par habitant,,Deuxième décile,Saskatchewan,0.605
2011-2016,Revenu par habitant,,Troisième décile,Saskatchewan,0.777
2011-2016,Revenu par habitant,,Quatrième décile,Saskatchewan,-0.364
2011-2016,Revenu par habitant,,Total des déciles,Alberta,-2.251
2011-2016,Revenu par habitant,,Décile inférieur,Alberta,-0.304
2011-2016,Revenu par habitant,,Deuxième décile,Alberta,-0.423
2011-2016,Revenu par habitant,,Troisième décile,Alberta,-0.823
2011-2016,Revenu par habitant,,Quatrième décile,Alberta,-1.271
2011-2016,Revenu par habitant,,Total des déciles,Colombie-Britannique,-0.532
2011-2016,Revenu par habitant,,Décile inférieur,Colombie-Britannique,-2.528
2011-2016,Revenu par habitant,,Deuxième décile,Colombie-Britannique,0.814
2011-2016,Revenu par habitant,,Troisième décile,Colombie-Britannique,0.298
2011-2016,Revenu par habitant,,Quatrième décile,Colombie-Britannique,-0.215
2012-2017,Revenu par habitant,,Total des déciles,Canada,0.046
2012-2017,Revenu par habitant,,Décile inférieur,Canada,0.991
2012-2017,Revenu par habitant,,Deuxième décile,Canada,0.557
2012-2017,Revenu par habitant,,Troisième décile,Canada,0.336
2012-2017,Revenu par habitant,,Quatrième décile,Canada,0.158
